source_pkl	rows	cols	dtype	min	max	strict_0_1
alpaca_eval_weighted_alpaca_eval_gpt4_turbo_2d_comparisons_no_rounding.pkl	154	805	float64	0.0	0.9999999407	False
alpaca_eval_weighted_alpaca_eval_gpt4_turbo_2d_comparisons_no_rounding_debias.pkl	153	805	float32	0.0	0.9999999403953552	False
alpaca_eval_weighted_alpaca_eval_gpt4_turbo_2d_comparisons_non_trivial_rounding.pkl	154	805	float32	0.0	1.0	False
alpaca_eval_weighted_alpaca_eval_gpt4_turbo_2d_comparisons_option_1.pkl	154	805	float64	-2.0	0.9999999407	False
alpaca_eval_weighted_alpaca_eval_gpt4_turbo_2d_comparisons_option_2.pkl	154	805	float64	-2.0	1.0	False
alpaca_eval_weighted_alpaca_eval_gpt4_turbo_2d_comparisons_rounding.pkl	154	805	float64	-2.0	1.0	False
cnn_2d_comparisons.pkl	3	500	float64	0.0	1.0	False
FINAL_cnn_2d_comparisons.pkl	14	500	float64	0.0	1.0	True
FINAL_xsum_2d_comparisons.pkl	42	500	float64	0.0	1.0	True
gsm8k_128_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	0.9140625	False
gsm8k_128_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	0.90625	False
gsm8k_128_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	0.90625	False
gsm8k_128_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	0.90625	False
gsm8k_128_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	0.90625	False
gsm8k_16_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	1.0	False
gsm8k_16_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	1.0	False
gsm8k_16_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	1.0	False
gsm8k_16_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	1.0	False
gsm8k_16_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	1.0	False
gsm8k_16_samples_various_models_seed1.pkl	122	1000	float64	0.0	1.0	False
gsm8k_16_samples_various_models_seed2.pkl	122	1000	float64	0.0	1.0	False
