benchmark,prior,metric,n_questions,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
mmlu_public_relations,dataset,final_regret_pp,110,20,2.9545454545454524,2.999999999999998,4.727272727272726,6.454545454545452,2.090909090909088,4.090909090909087,2.1363636363636336,3.9545454545454533,0.04545454545454582,-1.0920454545454539,1.045454545454546,-1.5384615384615383
mmlu_college_chemistry,default,final_regret_pp,100,20,2.3499999999999983,2.8999999999999977,4.099999999999994,5.099999999999994,1.5499999999999998,3.1499999999999977,1.9,4.049999999999996,0.5499999999999994,0.0,1.4499999999999986,-23.404255319148927
mmlu_global_facts,default,final_regret_pp,100,20,2.7500000000000018,3.150000000000002,4.100000000000005,5.000000000000004,2.1487500000000033,3.350000000000003,2.500000000000002,3.850000000000003,0.40000000000000036,-0.20000000000000018,1.250000000000001,-14.545454545454549
mmlu_formal_logic,default,final_regret_pp,126,20,1.8650793650793713,2.0634920634920695,3.9682539682539764,3.9682539682539764,1.2301587301587351,2.6587301587301653,1.4285714285714328,2.857142857142863,0.1984126984126977,0.0,0.515873015873014,-10.638297872340376
mmlu_virology,default,final_regret_pp,166,20,3.9759036144578297,4.096385542168672,5.421686746987953,5.481927710843375,3.343373493975902,4.548192771084334,3.4337349397590353,4.698795180722888,0.12048192771084318,0.0,0.36144578313252956,-3.0303030303030134
mmlu_computer_security,default,final_regret_pp,100,20,3.6999999999999935,3.7999999999999936,5.099999999999994,5.099999999999994,2.999999999999995,4.399999999999995,3.099999999999995,4.499999999999995,0.10000000000000006,0.0,0.3000000000000002,-2.7027027027027097
mmlu_jurisprudence,default,final_regret_pp,108,20,1.0648148148148153,1.1574074074074077,1.851851851851849,1.851851851851849,0.6944444444444448,1.435185185185185,0.7870370370370378,1.5277777777777768,0.09259259259259245,0.0,0.27777777777777735,-8.695652173913016
mmlu_world_religions,default,final_regret_pp,171,20,1.2280701754385992,1.2865497076023413,1.8128654970760292,2.3391812865497075,0.9649122807017568,1.491959064327479,0.9941520467836279,1.5789473684210549,0.05847953216374213,-0.14619883040935755,0.2631578947368418,-4.761904761904706
mmlu_college_physics,default,final_regret_pp,102,20,1.3725490196078394,1.4215686274509765,3.0392156862745017,3.0392156862745017,0.8823529411764675,1.9117647058823484,0.9313725490196051,1.9607843137254855,0.04901960784313708,0.0,0.14705882352941124,-3.5714285714285685
mmlu_machine_learning,default,final_regret_pp,112,20,1.5625000000000007,1.6071428571428577,2.7678571428571455,2.7678571428571455,1.0714285714285716,2.05357142857143,1.116071428571428,2.098214285714288,0.044642857142856984,0.0,0.13392857142857095,-2.8571428571428457
mmlu_high_school_physics,default,final_regret_pp,151,20,1.0596026490066186,1.0927152317880748,2.6490066225165476,2.6490066225165476,0.6622516556291369,1.4569536423841005,0.6953642384105924,1.5231788079470139,0.03311258278145657,-0.09933774834437137,0.19867549668874107,-3.1249999999999436
mmlu_us_foreign_policy,default,mean_drawdown_pp,100,20,0.9890222222222163,1.0374814814814775,1.4167999999999905,1.2651555555555465,0.752782222222218,1.2146188888888818,0.5545411111111077,1.77079444444444,0.04845925925926144,-0.4131666666666627,0.7475503703703738,-4.899713896253915
mmlu_formal_logic,dataset,mean_regret_pp,126,20,1.4715853419557199,1.57946306094455,2.3816522493771197,2.507871186883542,1.086710431772166,1.9014552597445091,1.179709647919531,2.0047399755512707,0.10787771898883033,-0.03334674747814052,0.2801305021322666,-7.330714428390663
