prior_tag,budget_fraction,method_key,method_label,family,parameter,n_runs,n_eligible,mean_regret,p90_regret,regret_mc_se,regret_ci95_low,regret_ci95_high,coverage,mean_selected_n,paired_n,paired_mean_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,0.01,posterior_mean,Current posterior mean,baseline,,100,100,0.16876999999999998,0.32699999999999996,0.02617488612513269,0.11852499999999995,0.21899449999999995,1.0,10.72,100,0.0,0.0,0.0,0.0
default,0.01,empirical_mean,Observed sample mean,baseline,,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,100,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,100,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.16876999999999998,0.32699999999999996,0.02617488612513269,0.11852499999999995,0.21899449999999995,1.0,10.72,100,0.0,0.0,0.0,0.0
default,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.11437999999999998,0.18699999999999997,0.015131057534951945,0.08481824999999996,0.14416099999999996,1.0,15.84,100,-0.05439,0.01678192340994432,-0.08836675000000001,-0.021991750000000008
default,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.11437999999999998,0.18699999999999997,0.015131057534951945,0.08481824999999996,0.14416099999999996,1.0,15.84,100,-0.05439,0.01678192340994432,-0.08836675000000001,-0.021991750000000008
default,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
default,0.01,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,100,100,0.11259999999999998,0.18699999999999997,0.014809377916623553,0.08392874999999998,0.14170249999999995,1.0,16.0,100,-0.05617,0.017138926000994564,-0.09102475,-0.02378975
