prior_tag,budget_fraction,method_key,method_label,family,parameter,n_runs,n_eligible,mean_regret,p90_regret,regret_mc_se,regret_ci95_low,regret_ci95_high,coverage,mean_selected_n,paired_n,paired_mean_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,0.01,posterior_mean,Current posterior mean,baseline,,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,32.6,20,0.0,0.0,0.0,0.0
default,0.01,empirical_mean,Observed sample mean,baseline,,20,20,0.019000000000000017,0.030000000000000027,0.002172025654877367,0.014500000000000013,0.02300000000000002,1.0,21.4,20,0.004500000000000004,0.0025399249927840354,0.0,0.010000000000000009
default,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,32.6,20,0.0,0.0,0.0,0.0
default,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,18,0.013888888888888902,0.023000000000000027,0.0023985969641936453,0.009444444444444453,0.01833552631578949,0.9,33.55555555555556,18,0.0,0.0,0.0,0.0
default,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,20,0.014000000000000012,0.021000000000000033,0.002160187528933581,0.010000000000000009,0.018000000000000016,1.0,33.2,20,-0.0005000000000000004,0.0004716696112982292,-0.0015000000000000013,0.0
default,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,20,20,0.014500000000000013,0.021000000000000033,0.0021882194369633756,0.010000000000000009,0.018500000000000016,1.0,33.0,20,0.0,0.0,0.0,0.0
default,0.01,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,20,20,0.014000000000000012,0.021000000000000033,0.002160187528933581,0.010000000000000009,0.018000000000000016,1.0,33.2,20,-0.0005000000000000004,0.0004716696112982292,-0.0015000000000000013,0.0
dataset,0.01,posterior_mean,Current posterior mean,baseline,,20,20,0.007000000000000006,0.021000000000000033,0.0025686778419754916,0.0025000000000000022,0.01200000000000001,1.0,64.4,20,0.0,0.0,0.0,0.0
dataset,0.01,empirical_mean,Observed sample mean,baseline,,20,20,0.01150000000000001,0.021000000000000033,0.0027460153587244122,0.006500000000000006,0.017000000000000015,1.0,44.6,20,0.004500000000000004,0.001677149913344611,0.0015000000000000013,0.008000000000000007
dataset,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,20,0.007000000000000006,0.021000000000000033,0.0025686778419754916,0.0025000000000000022,0.01200000000000001,1.0,64.4,20,0.0,0.0,0.0,0.0
dataset,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,20,0.005500000000000005,0.011000000000000024,0.0022716963605099966,0.0019875000000000023,0.01050000000000001,1.0,70.2,20,-0.0015000000000000013,0.0033345649376377937,-0.008000000000000007,0.004500000000000004
dataset,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,20,0.007000000000000006,0.021000000000000033,0.0025686778419754916,0.0025000000000000022,0.01200000000000001,1.0,64.4,20,0.0,0.0,0.0,0.0
dataset,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,20,0.005500000000000005,0.011000000000000024,0.0022910409465172438,0.0020000000000000018,0.01050000000000001,1.0,67.8,20,-0.0015000000000000013,0.0014061768499493003,-0.004500000000000004,0.0
dataset,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,20,0.005500000000000005,0.011000000000000024,0.0022910409465172438,0.0020000000000000018,0.01050000000000001,1.0,67.8,20,-0.0015000000000000013,0.0014061768499493003,-0.004500000000000004,0.0
dataset,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,20,0.003500000000000003,0.010000000000000009,0.001305257617272334,0.0010000000000000009,0.0060124999999999935,1.0,68.6,20,-0.003500000000000003,0.0024460431572495074,-0.009000000000000008,0.0
dataset,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,20,20,0.005500000000000005,0.011000000000000024,0.0022910409465172438,0.0020000000000000018,0.01050000000000001,1.0,67.8,20,-0.0015000000000000013,0.0014061768499493003,-0.004500000000000004,0.0
dataset,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,20,20,0.005500000000000005,0.011000000000000024,0.0022910409465172438,0.0020000000000000018,0.01050000000000001,1.0,67.8,20,-0.0015000000000000013,0.0014061768499493003,-0.004500000000000004,0.0
dataset,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,20,20,0.005500000000000005,0.011000000000000024,0.0022910409465172438,0.0020000000000000018,0.01050000000000001,1.0,67.8,20,-0.0015000000000000013,0.0014061768499493003,-0.004500000000000004,0.0
