prior_tag,method_key,method_label,family,parameter,n_runs,n_matrices,n_eligible,mean_final_regret,final_regret_mc_se,final_regret_ci95_low,final_regret_ci95_high,p90_final_regret,top1_accuracy,final_coverage,mean_selected_n,paired_n,paired_mean_final_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,posterior_mean,Current posterior mean,baseline,,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,empirical_mean,Observed sample mean,baseline,,20,1,20,0.0050000000000000044,0.001494357003146456,0.0024875000000000027,0.008000000000000007,0.011000000000000024,0.6,1.0,87.2,20,-0.0005000000000000004,0.0004833348866082533,-0.0015000000000000013,0.0
default,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,1,0,nan,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,20,1,20,0.005500000000000005,0.0015046872877225478,0.0025000000000000022,0.008500000000000008,0.011000000000000024,0.55,1.0,89.6,20,0.0,0.0,0.0,0.0
default,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,20,1,20,0.005500000000000005,0.0016758735937720086,0.0025000000000000022,0.009000000000000008,0.020000000000000018,0.6,1.0,90.8,20,0.0,0.0006938425018816723,-0.0015000000000000013,0.0015000000000000013
default,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,20,1,20,0.005500000000000005,0.0016758735937720086,0.0025000000000000022,0.009000000000000008,0.020000000000000018,0.6,1.0,90.8,20,0.0,0.0006938425018816723,-0.0015000000000000013,0.0015000000000000013
