prior_tag,budget_fraction,method_key,method_label,family,parameter,n_runs,n_eligible,mean_regret,p90_regret,regret_mc_se,regret_ci95_low,regret_ci95_high,coverage,mean_selected_n,paired_n,paired_mean_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,0.01,posterior_mean,Current posterior mean,baseline,,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,empirical_mean,Observed sample mean,baseline,,20,20,0.040499999999999925,0.05999999999999994,0.0026931287924443392,0.03549999999999992,0.04599999999999993,1.0,19.4,20,-0.0050000000000000044,0.003890466775559426,-0.013500000000000012,0.00151249999999999
default,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,16,0.041249999999999926,0.05999999999999994,0.0028053919386296163,0.0361527777777777,0.047058823529411695,0.8,31.25,16,0.0,0.0,0.0,0.0
default,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,20,0.04649999999999994,0.06099999999999996,0.0040562557810080195,0.038499999999999944,0.05449999999999995,1.0,30.4,20,0.0010000000000000065,0.001275408038890167,-0.0009999999999999898,0.0040000000000000036
default,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,20,20,0.04699999999999993,0.06099999999999996,0.003911384240480179,0.039499999999999924,0.05501249999999993,1.0,30.2,20,0.0015000000000000013,0.001113732193751892,0.0,0.0040000000000000036
default,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,20,20,0.04549999999999993,0.06099999999999996,0.003871347450317668,0.03799999999999992,0.053499999999999936,1.0,29.8,20,0.0,0.0,0.0,0.0
default,0.01,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,20,20,0.04699999999999993,0.06099999999999996,0.003911384240480179,0.039499999999999924,0.05501249999999993,1.0,30.2,20,0.0015000000000000013,0.001113732193751892,0.0,0.0040000000000000036
default,0.01,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,20,20,0.04649999999999994,0.06099999999999996,0.0040562557810080195,0.038499999999999944,0.05449999999999995,1.0,30.4,20,0.0010000000000000065,0.001275408038890167,-0.0009999999999999898,0.0040000000000000036
dataset,0.01,posterior_mean,Current posterior mean,baseline,,20,20,0.04699999999999995,0.08099999999999997,0.005469765473430677,0.03648749999999994,0.057999999999999954,1.0,37.6,20,0.0,0.0,0.0,0.0
dataset,0.01,empirical_mean,Observed sample mean,baseline,,20,20,0.04549999999999994,0.07199999999999998,0.004597627342138246,0.036999999999999936,0.05499999999999994,1.0,20.2,20,-0.0015000000000000124,0.005781482901863895,-0.012512500000000015,0.009999999999999992
dataset,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,20,0.04699999999999995,0.08099999999999997,0.005469765473430677,0.03648749999999994,0.057999999999999954,1.0,37.6,20,0.0,0.0,0.0,0.0
dataset,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
dataset,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,20,20,0.046999999999999945,0.08099999999999997,0.0052409880467050975,0.03649999999999995,0.057499999999999954,1.0,38.8,20,-5.551115123125783e-18,0.0007203309146681276,-0.0015000000000000013,0.0014999999999999846
