prior_tag,matrix_seed,run_seed,method_key,method_label,family,parameter,final_evaluations,final_budget_fraction,final_recommended_arm,final_regret,final_coverage,top1_correct,final_selected_n,final_selected_variance,final_score,paired_final_delta
dataset,1,0,posterior_mean,Current posterior mean,baseline,,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.8467742204666138,0.0
dataset,1,0,empirical_mean,Observed sample mean,baseline,,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.8823529411764706,0.0
dataset,1,0,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.8467741935483871,0.0
dataset,1,0,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,15000,0.1,-1,nan,0,nan,nan,nan,nan,nan
dataset,1,0,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,15000,0.1,-1,nan,0,nan,nan,nan,nan,nan
dataset,1,0,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,15000,0.1,-1,nan,0,nan,nan,nan,nan,nan
dataset,1,0,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.8440860215053764,0.0
dataset,1,0,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.8333333333333334,0.0
dataset,1,0,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.8198924731182796,0.0
dataset,1,0,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.793010752688172,0.0
dataset,1,0,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.7949266088118658,0.0
dataset,1,0,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.7614849166568096,0.0
dataset,1,0,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,15000,0.1,1470,0.020000000000000018,1,0.0,68.0,0.002688172043010753,0.7451529274648054,0.0
