prior_tag,method_key,method_label,family,parameter,n_runs,n_matrices,n_eligible,mean_final_regret,final_regret_mc_se,final_regret_ci95_low,final_regret_ci95_high,p90_final_regret,top1_accuracy,final_coverage,mean_selected_n,paired_n,paired_mean_final_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,posterior_mean,Current posterior mean,baseline,,20,1,20,0.036999999999999936,0.003511335996523327,0.029999999999999943,0.043999999999999935,0.05099999999999995,0.05,1.0,54.0,20,0.0,0.0,0.0,0.0
default,empirical_mean,Observed sample mean,baseline,,20,1,20,0.03599999999999994,0.003592304051496529,0.028999999999999953,0.04299999999999994,0.05099999999999995,0.05,1.0,52.8,20,-0.0009999999999999953,0.0006584780507680872,-0.002499999999999991,0.0
default,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,1,20,0.036999999999999936,0.003511335996523327,0.029999999999999943,0.043999999999999935,0.05099999999999995,0.05,1.0,54.0,20,0.0,0.0,0.0,0.0
default,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,1,20,0.036999999999999936,0.003511335996523327,0.029999999999999943,0.043999999999999935,0.05099999999999995,0.05,1.0,54.0,20,0.0,0.0,0.0,0.0
default,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,1,5,0.02999999999999996,0.008936937361930217,0.010000000000000009,0.04499999999999993,0.04599999999999993,0.2,0.25,62.4,5,2.2204460492503132e-17,0.0061775407195217655,-0.013333333333333272,0.010000000000000009
default,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,1,0,nan,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,1,20,0.03799999999999994,0.0035389756071988305,0.030999999999999944,0.044512499999999934,0.05099999999999995,0.05,1.0,55.4,20,0.0010000000000000009,0.00098979325653931,0.0,0.0030000000000000027
default,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,1,20,0.03799999999999994,0.0035389756071988305,0.030999999999999944,0.044512499999999934,0.05099999999999995,0.05,1.0,55.4,20,0.0010000000000000009,0.00098979325653931,0.0,0.0030000000000000027
default,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,1,20,0.03799999999999994,0.0035389756071988305,0.030999999999999944,0.044512499999999934,0.05099999999999995,0.05,1.0,55.4,20,0.0010000000000000009,0.00098979325653931,0.0,0.0030000000000000027
default,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,1,20,0.037499999999999936,0.003535438208104238,0.029999999999999954,0.044012499999999934,0.05099999999999995,0.05,1.0,55.6,20,0.0005000000000000004,0.0011287094333729062,-0.0015000000000000013,0.0030000000000000027
