prior_tag,budget_fraction,method_key,method_label,family,parameter,n_runs,n_eligible,mean_regret,p90_regret,regret_mc_se,regret_ci95_low,regret_ci95_high,coverage,mean_selected_n,paired_n,paired_mean_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,0.01,posterior_mean,Current posterior mean,baseline,,100,100,0.03422000000000002,0.10200000000000009,0.006846034203004594,0.021399000000000015,0.04872550000000003,1.0,16.8,100,0.0,0.0,0.0,0.0
default,0.01,empirical_mean,Observed sample mean,baseline,,100,100,0.035480000000000025,0.10200000000000009,0.006604435872865965,0.02336000000000002,0.049399000000000026,1.0,16.32,100,0.0012600000000000011,0.001218684150819835,0.0,0.0037800000000000034
default,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.03422000000000002,0.10200000000000009,0.006846034203004594,0.021399000000000015,0.04872550000000003,1.0,16.8,100,0.0,0.0,0.0,0.0
default,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,100,12,0.022083333333333354,0.039000000000000035,0.011828992788661397,0.002250000000000002,0.039000000000000035,0.12,32.0,12,0.020250000000000018,0.011357788281903002,0.001272727272727274,0.039000000000000035
default,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,100,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,0,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
default,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.03422000000000002,0.10200000000000009,0.006846034203004594,0.021399000000000015,0.04872550000000003,1.0,16.8,100,0.0,0.0,0.0,0.0
default,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.03422000000000002,0.10200000000000009,0.006846034203004594,0.021399000000000015,0.04872550000000003,1.0,16.8,100,0.0,0.0,0.0,0.0
default,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.03651000000000002,0.10200000000000009,0.00649906733155459,0.024995500000000018,0.05024200000000002,1.0,17.76,100,0.002290000000000002,0.0019626766363002044,0.0,0.0065384999999999974
default,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.03665000000000002,0.10200000000000009,0.006506371712772395,0.025127500000000018,0.05045375000000003,1.0,17.92,100,0.002430000000000002,0.00195567882710193,0.0,0.006753000000000003
default,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.03422000000000002,0.10200000000000009,0.006846034203004594,0.021399000000000015,0.04872550000000003,1.0,16.8,100,0.0,0.0,0.0,0.0
default,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.03651000000000002,0.10200000000000009,0.00649906733155459,0.024995500000000018,0.05024200000000002,1.0,17.76,100,0.002290000000000002,0.0019626766363002044,0.0,0.0065384999999999974
default,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.03651000000000002,0.10200000000000009,0.00649906733155459,0.024995500000000018,0.05024200000000002,1.0,17.76,100,0.002290000000000002,0.0019626766363002044,0.0,0.0065384999999999974
default,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.03651000000000002,0.10200000000000009,0.00649906733155459,0.024995500000000018,0.05024200000000002,1.0,17.76,100,0.002290000000000002,0.0019626766363002044,0.0,0.0065384999999999974
default,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.03422000000000002,0.10200000000000009,0.006846034203004594,0.021399000000000015,0.04872550000000003,1.0,16.8,100,0.0,0.0,0.0,0.0
default,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.03651000000000002,0.10200000000000009,0.00649906733155459,0.024995500000000018,0.05024200000000002,1.0,17.76,100,0.002290000000000002,0.0019626766363002044,0.0,0.0065384999999999974
default,0.01,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,100,100,0.03651000000000002,0.10200000000000009,0.00649906733155459,0.024995500000000018,0.05024200000000002,1.0,17.76,100,0.002290000000000002,0.0019626766363002044,0.0,0.0065384999999999974
default,0.01,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,100,100,0.03665000000000002,0.10200000000000009,0.006506371712772395,0.025127500000000018,0.05045375000000003,1.0,17.92,100,0.002430000000000002,0.00195567882710193,0.0,0.006753000000000003
dataset,0.01,posterior_mean,Current posterior mean,baseline,,100,100,0.030980000000000025,0.061000000000000054,0.0033412692375230156,0.02482950000000002,0.03781025000000003,1.0,171.84,100,0.0,0.0,0.0,0.0
dataset,0.01,empirical_mean,Observed sample mean,baseline,,100,100,0.03994000000000003,0.09930000000000011,0.003989633638138542,0.032057250000000016,0.047421000000000026,1.0,149.6,100,0.008960000000000003,0.003137978056612854,0.0033195000000000017,0.015360500000000001
dataset,0.01,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.030980000000000025,0.061000000000000054,0.0033412692375230156,0.02482950000000002,0.03781025000000003,1.0,171.84,100,0.0,0.0,0.0,0.0
dataset,0.01,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,100,92,0.029771739130434804,0.05340000000000008,0.003616670092726869,0.02292252747252749,0.036901947972642915,0.92,182.95652173913044,92,0.00083695652173913,0.0007846367207060431,0.0,0.002539166666666665
dataset,0.01,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,100,48,0.020958333333333346,0.03990000000000005,0.004071610082859382,0.012913512504665929,0.028870669934640547,0.48,275.0,48,-0.0006666666666666673,0.0009244666906817574,-0.0026178308823529436,0.0009323599365750532
dataset,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,21,0.011714285714285724,0.039000000000000035,0.005334064544453509,0.0022821428571428593,0.022200681818181835,0.21,421.3333333333333,21,-0.0019523809523809541,0.001936260642069369,-0.006882352941176477,0.0
dataset,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.03171000000000003,0.061000000000000054,0.0032176586118702146,0.02582900000000002,0.03822150000000003,1.0,175.52,100,0.0007300000000000006,0.0010008511908401808,-0.0006305000000000005,0.002951000000000002
dataset,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
dataset,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
dataset,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.03313000000000002,0.06510000000000032,0.003311297651863881,0.02696750000000003,0.039831500000000034,1.0,177.92,100,0.002150000000000001,0.0014790858171365368,-0.00033000000000000027,0.005300000000000003
dataset,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
dataset,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
dataset,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
dataset,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.03313000000000002,0.06510000000000032,0.003311297651863881,0.02696750000000003,0.039831500000000034,1.0,177.92,100,0.002150000000000001,0.0014790858171365368,-0.00033000000000000027,0.005300000000000003
dataset,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
dataset,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
