benchmark,prior,matrix_seed,run_seed,method,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
gsm8k,dataset,1,0,posterior_mean,4.999999999999993,2.399999999999997,13,2.399999999999997,0.54542805100182,1.1454280510018204,0.0,5,1,1
gsm8k,dataset,1,0,gaussian_lcb_1.645,6.199999999999994,2.399999999999997,15,2.399999999999997,0.5789435336976304,1.1789435336976308,0.0,6,1,1
gsm8k,dataset,1,1,posterior_mean,2.399999999999997,2.399999999999997,3,2.399999999999997,0.07344262295081956,1.031985428051001,0.0,1,1,1
gsm8k,dataset,1,1,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.9853551912568302,0.0,0,0,0
gsm8k,dataset,1,2,posterior_mean,6.499999999999995,1.4000000000000012,14,1.4000000000000012,0.02899817850637514,1.1803642987249525,0.0,6,0,0
gsm8k,dataset,1,2,gaussian_lcb_1.645,1.9999999999999907,0.9999999999999953,6,0.9999999999999953,0.045173041894353096,1.2009107468123845,0.0,2,0,0
gsm8k,dataset,1,3,posterior_mean,1.0000000000000009,0.20000000000000018,12,0.20000000000000018,0.005391621129326062,0.39941712204007096,0.0,5,0,0
gsm8k,dataset,1,3,gaussian_lcb_1.645,0.8000000000000007,0.20000000000000018,10,0.20000000000000018,0.010054644808743187,0.4090346083788687,0.0,4,0,0
gsm8k,dataset,1,4,posterior_mean,7.5999999999999845,1.200000000000001,15,1.200000000000001,0.06703096539162089,0.4530418943533679,0.0,7,0,0
gsm8k,dataset,1,4,gaussian_lcb_1.645,4.800000000000004,1.200000000000001,9,1.200000000000001,0.01224043715846997,0.4017486338797797,0.0,4,0,0
gsm8k,dataset,1,5,posterior_mean,3.399999999999992,2.399999999999997,5,2.399999999999997,0.016903460837887054,0.7848451730418939,0.0,2,1,1
gsm8k,dataset,1,5,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.8075774134790523,0.0,0,0,0
gsm8k,dataset,1,6,posterior_mean,0.0,0.0,1,0.0,0.0,0.19103825136611938,0.0,0,0,0
gsm8k,dataset,1,6,gaussian_lcb_1.645,4.799999999999982,1.1999999999999955,9,1.1999999999999955,0.02797814207650261,0.22950819672131045,0.0,4,0,0
gsm8k,dataset,1,7,posterior_mean,66.70000000000002,18.500000000000004,11,18.500000000000004,0.11322404371584711,0.24218579234972637,0.0,5,4,1
gsm8k,dataset,1,7,gaussian_lcb_1.645,47.00000000000001,18.500000000000004,7,18.500000000000004,0.08451730418943547,0.2134790528233147,0.0,3,3,1
gsm8k,dataset,1,8,posterior_mean,5.599999999999977,1.1999999999999955,13,1.1999999999999955,0.030601092896174978,0.981457194899817,0.0,5,0,0
gsm8k,dataset,1,8,gaussian_lcb_1.645,0.0,0.0,3,0.0,0.0,0.9875774134790515,0.0,0,0,0
gsm8k,dataset,1,9,posterior_mean,3.399999999999986,0.9999999999999953,12,0.9999999999999953,0.017194899817850575,0.32378870673952487,0.0,5,0,0
gsm8k,dataset,1,9,gaussian_lcb_1.645,2.399999999999991,0.9999999999999953,10,0.9999999999999953,0.020109289617486325,0.3608014571948982,0.0,4,0,0
gsm8k,dataset,1,10,posterior_mean,6.799999999999972,1.1999999999999955,13,1.1999999999999955,0.07985428051001793,0.2621493624772301,0.0,6,0,0
gsm8k,dataset,1,10,gaussian_lcb_1.645,1.9999999999999907,0.9999999999999953,5,0.9999999999999953,0.01602914389799634,0.2717668488160279,0.0,2,0,0
gsm8k,dataset,1,11,posterior_mean,3.399999999999986,0.9999999999999953,12,0.9999999999999953,0.006703096539162142,0.4534790528233131,0.0,5,0,0
gsm8k,dataset,1,11,gaussian_lcb_1.645,2.7999999999999914,0.9999999999999953,14,0.9999999999999953,0.013406193078324073,0.47679417122039836,0.0,6,0,0
gsm8k,dataset,1,12,posterior_mean,21.39999999999998,10.600000000000003,14,10.600000000000003,0.17369763205828753,0.23970856102003596,0.0,7,4,1
gsm8k,dataset,1,12,gaussian_lcb_1.645,13.0,10.600000000000003,4,10.600000000000003,0.0652823315118398,0.1312932604735882,0.0,2,2,1
gsm8k,dataset,1,13,posterior_mean,0.0,0.0,1,0.0,0.0,0.17355191256830527,0.0,0,0,0
gsm8k,dataset,1,13,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.020983606557376997,0.20677595628415213,0.0,2,0,0
gsm8k,dataset,1,14,posterior_mean,15.59999999999999,11.299999999999999,17,11.299999999999999,0.16888888888888867,1.6931511839708546,0.0,8,1,1
gsm8k,dataset,1,14,gaussian_lcb_1.645,14.899999999999991,11.299999999999999,12,11.299999999999999,0.20196721311475382,1.7408014571948982,0.0,5,1,1
gsm8k,dataset,1,15,posterior_mean,6.1,1.7000000000000015,17,1.7000000000000015,0.027103825136612053,1.3384335154826943,0.0,7,0,0
gsm8k,dataset,1,15,gaussian_lcb_1.645,5.299999999999988,1.7000000000000015,16,1.7000000000000015,0.0338069216757742,1.3665573770491797,0.0,7,0,0
gsm8k,dataset,1,16,posterior_mean,7.99999999999998,1.200000000000001,15,1.200000000000001,0.03468123861566475,0.4119489981785047,0.0,7,0,0
gsm8k,dataset,1,16,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.4192349726775937,0.0,0,0,0
gsm8k,dataset,1,17,posterior_mean,3.7999999999999923,1.4000000000000012,12,1.4000000000000012,0.06732240437158463,0.5480510018214912,0.0,5,0,0
gsm8k,dataset,1,17,gaussian_lcb_1.645,4.599999999999999,1.4000000000000012,16,1.4000000000000012,0.04167577413479059,0.5492167577413454,0.0,7,0,0
gsm8k,dataset,1,18,posterior_mean,0.0,0.0,1,0.0,0.0,0.22076502732240338,0.0,0,0,0
gsm8k,dataset,1,18,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.22775956284152904,0.0,0,0,0
gsm8k,dataset,1,19,posterior_mean,5.999999999999983,2.399999999999997,9,2.399999999999997,0.05245901639344236,0.22775956284152898,0.0,4,1,1
gsm8k,dataset,1,19,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.0017486338797814162,0.23999999999999894,0.0,1,0,0
gsm8k,dataset,2,0,posterior_mean,10.499999999999988,5.099999999999999,10,5.099999999999999,0.015300546448087638,0.6840801457194903,0.0,4,1,1
gsm8k,dataset,2,0,gaussian_lcb_1.645,0.0,0.0,2,0.0,0.0,0.6859744990892531,0.0,0,0,0
gsm8k,dataset,2,1,posterior_mean,38.2,19.700000000000003,6,18.500000000000004,0.5014207650273225,0.576174863387978,0.0,3,3,1
gsm8k,dataset,2,1,gaussian_lcb_1.645,34.60000000000001,18.500000000000004,4,18.500000000000004,0.5196357012750457,0.5961384335154825,0.0,2,2,1
gsm8k,dataset,2,2,posterior_mean,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.05071038251366103,0.23999999999999894,0.0,1,0,0
gsm8k,dataset,2,2,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.24874316939890603,0.0,0,0,0
gsm8k,dataset,2,3,posterior_mean,3.300000000000003,2.100000000000002,7,2.100000000000002,0.007431693989071054,0.3986885245901622,0.0,3,1,1
gsm8k,dataset,2,3,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.0017486338797814626,0.403497267759561,0.0,1,0,0
gsm8k,dataset,2,4,posterior_mean,0.6000000000000005,0.6000000000000005,3,0.6000000000000005,0.0026229508196721363,0.3379234972677581,0.0,1,0,0
gsm8k,dataset,2,4,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.34928961748633724,0.0,0,0,0
gsm8k,dataset,2,5,posterior_mean,10.199999999999987,3.299999999999997,9,3.299999999999997,0.04590163934426225,0.23519125683060021,0.0,4,2,1
gsm8k,dataset,2,5,gaussian_lcb_1.645,2.9999999999999916,1.799999999999996,5,1.799999999999996,0.015737704918032763,0.21377049180327778,0.0,2,0,0
gsm8k,dataset,2,6,posterior_mean,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.0017486338797814162,0.21377049180327776,0.0,1,0,0
gsm8k,dataset,2,6,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.23300546448087328,0.0,0,0,0
gsm8k,dataset,2,7,posterior_mean,47.79999999999998,22.700000000000003,15,22.700000000000003,0.131584699453552,0.20633879781420736,0.0,7,2,1
gsm8k,dataset,2,7,gaussian_lcb_1.645,22.700000000000003,22.700000000000003,3,22.700000000000003,0.033078324225865256,0.10958105646630208,0.0,1,1,1
gsm8k,dataset,2,8,posterior_mean,27.999999999999996,15.799999999999997,6,15.799999999999997,0.3650273224043711,1.0474681238615653,0.0,2,2,1
gsm8k,dataset,2,8,gaussian_lcb_1.645,29.799999999999994,15.799999999999997,8,15.799999999999997,0.4195264116575587,1.1019672131147529,0.0,3,2,1
gsm8k,dataset,2,9,posterior_mean,4.799999999999987,1.799999999999996,7,1.799999999999996,0.06732240437158458,0.24786885245901547,0.0,3,0,0
gsm8k,dataset,2,9,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.2347540983606547,0.0,0,0,0
gsm8k,dataset,2,10,posterior_mean,1.8000000000000016,0.6000000000000005,7,0.6000000000000005,0.10185792349726781,0.58054644808743,0.0,3,0,0
gsm8k,dataset,2,10,gaussian_lcb_1.645,1.8000000000000016,0.6000000000000005,7,0.6000000000000005,0.11322404371584713,0.5919125683060091,0.0,3,0,0
